                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.041725,               0.032527,               0.025199,               0.069001,                0.42471,                0.13467,                0.07707,               0.047899,                0.42443,                0.13259,               0.076304,               0.049697,               0.044589,                0.03319,               0.028235,               0.075607,               0.007624,               0.007624,               0.007624
                     26,               0.040989,               0.033378,                0.02501,               0.067556,                0.53107,                0.12636,               0.093609,               0.062821,                0.52641,                0.12472,               0.090486,               0.062294,               0.044224,               0.033924,               0.027629,               0.076261,               0.007525,               0.007525,               0.007525
                     27,               0.040275,               0.032348,               0.024246,               0.067905,                 0.5021,                0.12227,               0.091631,               0.061598,                0.50071,                0.11997,               0.085049,               0.059855,               0.045138,               0.034624,               0.027311,               0.075471,               0.007426,               0.007426,               0.007426
                     28,               0.040506,               0.032018,               0.024349,                0.06803,                0.53925,                0.12045,               0.085278,               0.057541,                0.53233,                0.11511,               0.081319,               0.054648,                0.04431,               0.034032,               0.026326,               0.076322,               0.007327,               0.007327,               0.007327
                     29,               0.039993,               0.031441,               0.024267,               0.066869,                 0.5035,                0.12972,               0.090309,               0.058121,                0.50279,                0.12666,               0.087848,                0.05883,               0.043701,               0.032402,               0.027858,               0.074953,               0.007228,               0.007228,               0.007228
                     30,               0.040301,               0.032045,               0.025018,               0.065761,                0.57669,                0.12155,               0.095797,               0.060714,                0.57625,                0.11945,               0.094076,               0.065579,               0.043254,               0.033725,               0.028092,               0.074902,               0.007129,               0.007129,               0.007129
                     31,               0.039477,               0.031893,               0.023743,               0.066436,                0.52469,                0.12207,                0.10093,               0.064502,                0.52651,                0.12352,                0.10061,               0.065414,               0.044618,               0.033364,               0.026572,               0.074896,                0.00703,                0.00703,                0.00703
                     32,               0.038702,               0.030405,               0.024146,               0.066287,                0.49891,                 0.1477,               0.093461,               0.063299,                 0.4994,                0.14662,               0.092734,               0.058369,               0.042662,               0.032806,               0.027075,               0.074162,               0.006931,               0.006931,               0.006931
                     33,               0.038754,               0.031056,               0.023619,               0.066042,                0.44156,                0.13747,               0.093008,               0.060091,                0.44374,                0.13576,               0.091538,               0.061281,               0.044965,               0.033603,               0.027614,               0.074708,               0.006832,               0.006832,               0.006832
                     34,               0.038959,               0.031335,               0.023992,                0.06523,                0.57925,                0.14256,               0.092976,               0.060944,                0.57816,                0.14091,               0.091749,               0.064796,               0.043468,               0.032762,               0.027639,               0.073995,               0.006733,               0.006733,               0.006733
                     35,               0.038657,               0.030609,                0.02316,               0.063911,                0.54861,                0.13734,                0.10523,               0.068054,                 0.5469,                0.13541,                0.10344,               0.068314,               0.042401,               0.031647,               0.026951,               0.073127,               0.006634,               0.006634,               0.006634
                     36,               0.037633,               0.030009,                 0.0234,               0.063766,                 0.4353,                0.13764,               0.096745,               0.060935,                 0.4345,                  0.136,               0.094949,               0.057452,               0.043275,               0.033098,               0.028628,               0.073969,               0.006535,               0.006535,               0.006535
                     37,               0.037287,               0.028855,               0.022688,               0.062921,                0.46304,                0.13963,                0.11202,               0.074485,                0.45773,                0.13622,                 0.1093,               0.070636,               0.041865,                0.03302,               0.027529,               0.073867,               0.006436,               0.006436,               0.006436
                     38,               0.037904,               0.029716,               0.022833,               0.063517,                0.38051,                0.15422,                0.10353,               0.065249,                0.37931,                 0.1528,                0.10159,               0.065198,               0.043081,                0.03316,               0.027631,               0.073262,               0.006337,               0.006337,               0.006337
                     39,               0.037657,               0.029124,               0.023133,               0.062576,                0.44114,                0.14477,                0.13153,               0.088479,                0.44015,                0.14379,                0.13218,               0.090075,               0.044034,               0.032116,               0.027593,               0.073124,               0.006238,               0.006238,               0.006238
                     40,               0.036446,               0.028851,               0.021212,               0.062292,                0.45691,                0.13852,                0.11499,                0.07648,                0.42284,                0.13386,                0.11018,               0.071705,               0.044032,                 0.0334,               0.027359,               0.072475,               0.006139,               0.006139,               0.006139
                     41,               0.036682,                0.02969,               0.023272,               0.062631,                0.43854,                0.19924,                0.11962,               0.079961,                0.43628,                0.19449,                0.11571,                0.08007,               0.041889,               0.032119,               0.027605,               0.072521,                0.00604,                0.00604,                0.00604
                     42,               0.036967,               0.029157,               0.024191,               0.061828,                0.45728,                 0.1589,                0.11265,               0.076082,                0.45633,                0.15672,                0.11384,               0.075443,               0.042645,               0.032315,               0.028437,               0.071896,               0.005941,               0.005941,               0.005941
                     43,               0.036006,                0.02952,               0.022009,               0.061568,                0.45611,                0.15986,                0.10233,               0.067887,                0.45544,                0.15919,               0.099765,               0.067051,               0.042554,               0.032374,               0.027867,                0.07241,               0.005842,               0.005842,               0.005842
                     44,               0.036065,               0.028154,               0.022474,               0.061034,                0.42994,                0.17229,                0.11165,               0.071604,                 0.4308,                0.17218,                 0.1103,               0.070052,                0.04307,               0.033507,               0.028663,               0.071731,               0.005743,               0.005743,               0.005743
